,Name,Address,City State ZIP,ZIP,Number of Sites,Url,latitude,longitude
222,Riverview Mobile Home Park,"2530 S Main St,","Rockford, IL",61102.0,96,https://www.mhvillage.com/parks/11638,,
223,Clark's Mobile Home Park,"1500 Linda Avenue,","Rockford, IL",61102.0,36,https://www.mhvillage.com/parks/11628,,
224,Ann's Mobile Home Park,"3113 South Main Street,","Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/11623,,
225,Cecka Mobile Home Park,"7945 South Main Street,","Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/11627,,
226,Rockford Mobile Home Park,"1028 Blue Lake Avenue,","Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/11639,,
227,Bill-Mar Heights,"4846 11th Street,","Rockford, IL",61109.0,70,https://www.mhvillage.com/parks/11626,,
228,Mancuso Village Park,"7358 Rydberg Drive,","Rockford, IL",61109.0,130,https://www.mhvillage.com/parks/11632,,
229,"Family Manufactured Home Community, LLC","1418 Sandy Hollow Road,","Rockford, IL",61109.0,55,https://www.mhvillage.com/parks/11622,,
230,Maple Leaf Mobile Home Park,"2114 Windsor Road,","Loves Park, IL",61111.0,Not found,https://www.mhvillage.com/parks/11618,,
231,Forest View,"11707 North 2nd Street,","Machesney Park, IL",61115.0,331,https://www.mhvillage.com/parks/104511,,
232,Bel-rock Mobile Home Park,"1520 Glen Forest Drive,","Machesney Park, IL",61115.0,Not found,https://www.mhvillage.com/parks/36902,,
233,Phil-Aire Estates,"917 Glen Forest Drive,","Machesney Park, IL",61115.0,Not found,https://www.mhvillage.com/parks/36471,,
234,Rainbow Lane Mobile Home Court,"9305 North 2nd Street,","Machesney Park, IL",61115.0,Not found,https://www.mhvillage.com/parks/11637,,
235,"COCR Castle MHP, LLC Rock Island","2300 79th Avenue West,","Rock Island, IL",61201.0,129,https://www.mhvillage.com/parks/11227,41.441236,-90.60021
236,Shady Acres Mobile Home Park,"403 Sycamore St.,","Albany, IL",61230.0,48,https://www.mhvillage.com/parks/11539,,
237,Hes Mobile Home Park,"709 North College Lane,","Aledo, IL",61231.0,9,https://www.mhvillage.com/parks/11694,,
238,Whitehouse Mobile Home Park,"109 South Pearl Street,","Atkinson, IL",61235.0,25,https://www.mhvillage.com/parks/37543,,
239,River Oaks Mobile Home Park,"14415 Barstow Road,","Barstow, IL",61236.0,50,https://www.mhvillage.com/parks/11202,41.2876995,-70.1468712
240,Whispering Hills,"905 East 3rd Ave,","Coal Valley, IL",61240.0,50,https://www.mhvillage.com/parks/11671,,
241,Candlelight MHP,"1503 West 1st Avenue,","Coal Valley, IL",61240.0,451,https://www.mhvillage.com/parks/11203,,
242,Kershaw Mobile Home Park,"605 W 1st Ave,","Colona, IL",61241.0,108,https://www.mhvillage.com/parks/10577,,
243,Willow Haven Mobile Home Community,"1400 Cleveland Rd,","Colona, IL",61241.0,110,https://www.mhvillage.com/parks/10579,,
244,Mississippi Manufactured Housing Community,"830 1st Avenue,","East Moline, IL",61244.0,201,https://www.mhvillage.com/parks/11208,,
245,Village on the Avenue,"1040 42nd Avenue,","East Moline, IL",61244.0,Not found,https://www.mhvillage.com/parks/11209,,
246,Dunbar Mobile Home Park,"1214 12th St,","Erie, IL",61250.0,Not found,https://www.mhvillage.com/parks/107130,,
247,East Street Mobile Home Park,"11th St &Amp; E St,","Erie, IL",61250.0,Not found,https://www.mhvillage.com/parks/107396,,
248,"Fulton MHP and Self Storage MHC, LLC","518 24th Ave,","Fulton, IL",61252.0,77,https://www.mhvillage.com/parks/11543,,
249,Green Acres Mobile Estates,"37 Green Acres,","Geneseo, IL",61254.0,39,https://www.mhvillage.com/parks/10581,,
250,Maple City Mobile Home Park,"1 Maple City Trailer Ct,","Geneseo, IL",61254.0,39,https://www.mhvillage.com/parks/10582,,
251,Hillsdale Estates,"700 Jackson St,","Hillsdale, IL",61257.0,Not found,https://www.mhvillage.com/parks/106784,,
252,Sun Retreats Rock River,"3333 290th Street North,","Hillsdale, IL",61257.0,489,https://www.mhvillage.com/parks/105837,,
253,Joy Trailer Park,"E Edwards And Drury St,","Joy, IL",61260.0,Not found,https://www.mhvillage.com/parks/107052,,
254,Valley Vista Estates,"9581 Pine Drive,","Lyndon, IL",61261.0,100,https://www.mhvillage.com/parks/11545,,
255,Woodland Mobile Home Park,"1511 Coyne Center Road,","Milan, IL",61264.0,248,https://www.mhvillage.com/parks/11222,,
256,High Cliff Estates,"1701 2nd Street East,","Milan, IL",61264.0,224,https://www.mhvillage.com/parks/11217,,
257,Paradise Manor Mobile Estates,"8619 Knoxville Road,","Milan, IL",61264.0,78,https://www.mhvillage.com/parks/11220,,
258,Airview Mobile Home Park,"5111 78th Avenue,","Milan, IL",61264.0,126,https://www.mhvillage.com/parks/11213,,
259,Mill Creek Mobile Home Park,"730 1st Avenue East,","Milan, IL",61264.0,Not found,https://www.mhvillage.com/parks/11218,,
260,Oak Grove Mobile Home Park,"10620 1st Street West,","Milan, IL",61264.0,Not found,https://www.mhvillage.com/parks/11219,,
261,Shady Lane Mobile Home Park,"652 10th Avenue West,","Milan, IL",61264.0,Not found,https://www.mhvillage.com/parks/11221,,
262,Cloverleaf Village,"4515 34th Street,","Moline, IL",61265.0,291,https://www.mhvillage.com/parks/11223,,
263,L and G Mobile Home Park,"3814 29th Street,","Moline, IL",61265.0,Not found,https://www.mhvillage.com/parks/57813,,
264,Honeycutt Hill Mobile Home Park,"13964 Round Grove Rd,","Morrison, IL",61270.0,Not found,https://www.mhvillage.com/parks/106858,,
265,Falcon Farms,"2507 214th Street North,","Port Byron, IL",61275.0,215,https://www.mhvillage.com/parks/11678,,
266,Silvis Heights MHP,"1309 1st St,","Silvis, IL",61282.0,Not found,https://www.mhvillage.com/parks/107080,,
267,Blossom Mobile Home Park,"2705 Saint Vincents Avenue,","La Salle, IL",61301.0,60,https://www.mhvillage.com/parks/10742,,
268,The Meadows,"16 West Wasson,","Amboy, IL",61310.0,95,https://www.mhvillage.com/parks/10837,41.7222883,-89.3350003
269,O'Connell's RV Resort,"970 Green Wing Road,","Amboy, IL",61310.0,636,https://www.mhvillage.com/parks/10838,,
270,Hilltop Mobile Home Court,"235 North Rock Island Stret,","Bureau, IL",61315.0,Not found,https://www.mhvillage.com/parks/10172,,
271,Oak Park Estates,"218 School Road,","Granville, IL",61326.0,150,https://www.mhvillage.com/parks/11171,,
272,Belle Aire Estates,"823 Belle Aire Street,","Marseilles, IL",61341.0,73,https://www.mhvillage.com/parks/10745,,
273,Whispering Pines Campground,"2776 East 2625th Road,","Marseilles, IL",61341.0,Not found,https://www.mhvillage.com/parks/10744,,
274,Mendota Mobile Home Park,"111 South 13th Avenue,","Mendota, IL",61342.0,75,https://www.mhvillage.com/parks/10752,,
275,Oglesby MHC,"641 W Walnut St,","Oglesby, IL",61348.0,40,https://www.mhvillage.com/parks/10753,,
276,The Oaks,"312 California Ave,","Oglesby, IL",61348.0,Not found,https://www.mhvillage.com/parks/57772,,
277,Starlight Mobile Home Park,"1931 Champlain St,","Ottawa, IL",61350.0,20,https://www.mhvillage.com/parks/10134,,
278,Ottawa Estates Mobile Home Park,"1570 N 30th Rd Unit O,","Ottawa, IL",61350.0,100,https://www.mhvillage.com/parks/10761,,
279,Kings Mobile Home Court,"1001 Evans St,","Ottawa, IL",61350.0,Not found,https://www.mhvillage.com/parks/57762,,
280,Thrush Mobile Home Park,"1626 Columbus St,","Ottawa, IL",61350.0,Not found,https://www.mhvillage.com/parks/57759,,
281,Hillview Mobile Home Park,"333 Hillview Drive,","Princeton, IL",61356.0,78,https://www.mhvillage.com/parks/11662,,
282,The Grove Mobile Home Pak,"Briar Lane,","Princeton, IL",61356.0,43,https://www.mhvillage.com/parks/10175,,
283,Maple Acres Mobile Home Park,"2137 Westmore Drive,","Princeton, IL",61356.0,99,https://www.mhvillage.com/parks/10177,,
284,Country Acres Estates,"2464 East 29th Road,","Seneca, IL",61360.0,125,https://www.mhvillage.com/parks/10767,41.1046606,-97.8347898
285,Green Tree Mobile Home Park,"430 Crotty Ln,","Seneca, IL",61360.0,Not found,https://www.mhvillage.com/parks/106876,,
286,Carriage Lane Estates,"1913 Barr Street,","Streator, IL",61364.0,134,https://www.mhvillage.com/parks/10776,,
287,Independence Mh Community,"427 W Frech St,","Streator, IL",61364.0,15,https://www.mhvillage.com/parks/57677,41.1399703,-88.8417711
288,North Gate Mh Park,"1732 N Baker St,","Streator, IL",61364.0,Not found,https://www.mhvillage.com/parks/57678,,
289,Southtown,"1814 Carr St,","Streator, IL",61364.0,Not found,https://www.mhvillage.com/parks/107318,,
290,Kimberly Terrace,"3053 Grand Ave.,","Galesburg, IL",61401.0,129,https://www.mhvillage.com/parks/10729,,
291,Country Elms,"654 Us Highway 150 E.,","Galesburg, IL",61401.0,177,https://www.mhvillage.com/parks/10728,,
292,Century Mobile home Estates,"701 Wisconsin Avenue,","Galesburg, IL",61401.0,Not found,https://www.mhvillage.com/parks/10726,,
293,Country Air Mobile Park,"835 Wisconsin Avenue,","Galesburg, IL",61401.0,Not found,https://www.mhvillage.com/parks/10727,,
294,Swing's Mobile Estates,"2135 Swing Boulevard,","Galesburg, IL",61401.0,Not found,https://www.mhvillage.com/parks/10733,,
295,Sandburg Lake Estates,"80 Herring Avenue,","Galesburg, IL",61401.0,200,https://www.mhvillage.com/parks/10732,,
296,Rolling Meadows Mobile Home Park,"301 East Street,","Abingdon, IL",61410.0,72,https://www.mhvillage.com/parks/10724,,
297,Bushnell Country Gardens,"601 E Osborne St,","Bushnell, IL",61422.0,64,https://www.mhvillage.com/parks/27867,,
298,Sentry Estates,"921 SE 2nd St,","Galva, IL",61434.0,Not found,https://www.mhvillage.com/parks/57897,,
299,Reecy's Mobile Home Park,"835 West 6th Street,","Kewanee, IL",61443.0,100,https://www.mhvillage.com/parks/10584,,
300,Southwind Mobile Estates,"602 Cole Street,","Kewanee, IL",61443.0,72,https://www.mhvillage.com/parks/10585,,
301,East Main Trailer Park,"1008 E Main St,","Knoxville, IL",61448.0,Not found,https://www.mhvillage.com/parks/57847,,
302,Kiljordan Meadows,"1601 East Jackson Street,","Macomb, IL",61455.0,173,https://www.mhvillage.com/parks/11034,,
303,Greenview Estates Mobile Home Park,"1400 South Johnson Street,","Macomb, IL",61455.0,79,https://www.mhvillage.com/parks/11031,,
304,Country Aire Estates,"9825 Us Highway 136,","Macomb, IL",61455.0,50,https://www.mhvillage.com/parks/11029,,
305,Derry's Mobile Home Court,"1513 East Jackson Street,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/11030,,
306,Heaps Mobile Home Park,"1718 W Jackson St,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/57832,,
307,Moon Valley Mobile Park,"836 N Randolph St,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/57831,,
308,Raintree Mobile Home Park,"48 Raintree Trailer Court,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/11038,,
309,Shade Tree Village Mobile Home Park,"1507 East Jackson Street,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/11028,,
310,Washington Park MHP,"1215 E Washington St,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/106992,,
311,Western Mobile Home Park,"821 South Ward Street,","Macomb, IL",61455.0,Not found,https://www.mhvillage.com/parks/11039,,
312,E-Z Mobile Home Park,"1302 South Main Street,","Monmouth, IL",61462.0,20,https://www.mhvillage.com/parks/11519,,
313,Cokel's Mobile Home Park,"1020 West 6th Avenue,","Monmouth, IL",61462.0,Not found,https://www.mhvillage.com/parks/11518,,
314,Shady Lakes Campground,"3355 75Thâ Ave,","New Windsor, IL",61465.0,342,https://www.mhvillage.com/parks/128140,,
315,W J Mobile Home Park,"524 E Jefferson St,","Toulon, IL",61483.0,Not found,https://www.mhvillage.com/parks/57663,,
316,Esquire Estates Mobile Home Park,"1 Esquire Est,","Brimfield, IL",61517.0,Not found,https://www.mhvillage.com/parks/11145,,
317,Woodland Hills Land Lease Community,"1100 W Locust St.,","Canton, IL",61520.0,131,https://www.mhvillage.com/parks/10534,,
318,Five Sisters Trailer Park,"205 N Ave I,","Canton, IL",61520.0,Not found,https://www.mhvillage.com/parks/10527,,
319,Lake Drive Mobile Home Park,"1648 East Chestnut Street,","Canton, IL",61520.0,Not found,https://www.mhvillage.com/parks/10531,,
320,Lake Drive Park,"24387 N Carver Rd,","Canton, IL",61520.0,Not found,https://www.mhvillage.com/parks/58054,,
321,Wagon Wheel Mobile Home Ranch,"900 W Walnut St,","Canton, IL",61520.0,Not found,https://www.mhvillage.com/parks/58053,,
322,Pinewood Estates,"100 Pinewood Estates,","Chillicothe, IL",61523.0,206,https://www.mhvillage.com/parks/11141,,
323,Chillicothe Mobile Home Park,"611 W Matthew St,","Chillicothe, IL",61523.0,37,https://www.mhvillage.com/parks/11140,,
324,Davis' Mobile Home Park,"1513 N 4th St,","Chillicothe, IL",61523.0,Not found,https://www.mhvillage.com/parks/11137,,
325,Maplewood Mobile Estates,"1100 W Sturgeon Ln,","Chillicothe, IL",61523.0,Not found,https://www.mhvillage.com/parks/57996,,
326,Northtown Mobile Home Park,"1706 N Santa Fe Ave,","Chillicothe, IL",61523.0,Not found,https://www.mhvillage.com/parks/11139,,
327,Enchanted Gardens,"508 Reagan Drive,","Eureka, IL",61530.0,144,https://www.mhvillage.com/parks/11655,,
328,sold,"101 W. Pearl St.,","Farmington, IL",61531.0,55,https://www.mhvillage.com/parks/10538,,
329,Autumn Ridge Estates,"420 Abens Ave,","Henry, IL",61537.0,57,https://www.mhvillage.com/parks/11010,,
330,Washington Square Mhc Inc,"900 Washington St,","Lacon, IL",61540.0,33,https://www.mhvillage.com/parks/70201,,
331,EEE Mobile Village,"16088 E Us 24 Highway,","Lewistown, IL",61542.0,Not found,https://www.mhvillage.com/parks/107042,,
332,Maple Crest Subdivision,"Cr 800,","Manito, IL",61546.0,300,https://www.mhvillage.com/parks/11018,,
333,Broadview Communities Lake Wildwind,"103 Hollyhock Lane,","Metamora, IL",61548.0,140,https://www.mhvillage.com/parks/11658,,
334,Tuckaway Village,"212 Anker Lane,","Germantown Hills, IL",61548.0,107,https://www.mhvillage.com/parks/30090,,
335,Edgewood Terrace,"24150 Veterans Road,","Morton, IL",61550.0,124,https://www.mhvillage.com/parks/11445,,
336,Oak Lawn Estates,"3000 West Jackson Street,","Morton, IL",61550.0,470,https://www.mhvillage.com/parks/86,,
337,Pekin Trailer Court,"1810 North 8th Street,","Pekin, IL",61554.0,Not found,https://www.mhvillage.com/parks/11449,,
338,Northwest Mh Park,"217 N Stanton St,","Princeville, IL",61559.0,Not found,https://www.mhvillage.com/parks/57738,,
339,Deluxe Lake Estates,"338 North Amy Dr.,","Bellevue, IL",61604.0,131,https://www.mhvillage.com/parks/28560,,
340,Royal Oaks Estates,"2109 N Abbey Circle,","Peoria, IL",61604.0,585,https://www.mhvillage.com/parks/11149,,
341,Four Seasons,"208 N Apple Blossom,","Peoria, IL",61604.0,215,https://www.mhvillage.com/parks/11146,,
342,Wandering Springs,"2900 W Farmington Rd,","West Peoria, IL",61604.0,98,https://www.mhvillage.com/parks/57627,,
343,Cedar Ridge Village,"701 Fischer Road,","Creve Coeur, IL",61610.0,340,https://www.mhvillage.com/parks/11435,,
344,Mill Point,"310 Ash Lane,","East Peoria, IL",61611.0,80,https://www.mhvillage.com/parks/11648,,
345,Springfield Court,"2506 Springfield Rd #8,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/107352,,
346,Broadview Estates East Peoria,"1085 Spring Bay Road,","East Peoria, IL",61611.0,148,https://www.mhvillage.com/parks/11439,,
347,Bluff Street Mobile Home Manor,"300 West Bluff Street,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/11436,,
348,Fairview Mobile Home Park,"108 Fairview Avenue,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/11438,,
349,Golden Valley Mobile Home Park,"1449 Meadow Avenue,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/37022,,
350,Hiatt's Hide-Away,"119 Hiatt Ln,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/106688,,
351,Wagon Wheel Mobile Home Park,"800 Bloomington Road,","East Peoria, IL",61611.0,Not found,https://www.mhvillage.com/parks/11440,,
352,Royal Highlander MHC,"826 West Inverness Street,","Peoria, IL",61615.0,279,https://www.mhvillage.com/parks/11153,,
353,Mt Hawley Mobile Home Park,"8327 North Knoxville Avenue,","Peoria, IL",61615.0,Not found,https://www.mhvillage.com/parks/11151,,
354,Grandview Estates,"39 Dennis Drive,","Bloomington, IL",61701.0,191,https://www.mhvillage.com/parks/11052,,
355,Maple Grove Estates,"1212 Epsilon Street,","Bloomington, IL",61701.0,218,https://www.mhvillage.com/parks/11056,,
356,Prairieland Estates Mobile Home Community,"31 Cornflower Lane,","Bloomington, IL",61701.0,103,https://www.mhvillage.com/parks/27866,,
357,Willow Creek North Mobile Home Park,"40 Canada Ln,","Bloomington, IL",61701.0,120,https://www.mhvillage.com/parks/11061,,
358,Twin City Estates,"2317 Springfield Road,","Bloomington, IL",61701.0,Not found,https://www.mhvillage.com/parks/31781,,
359,Greenwood Terrace,"104 Greenwood Ave,","Bloomington, IL",61704.0,97,https://www.mhvillage.com/parks/11053,,
360,Alexander Estates,"Alexander Road,","Bloomington, IL",61704.0,330,https://www.mhvillage.com/parks/11051,,
361,Cardinal Ridge,"2402 22nd Street,","Bloomington, IL",61704.0,364,https://www.mhvillage.com/parks/11060,,
362,Prairie Place,"3710 Daffodil Drive,","Bloomington, IL",61704.0,38,https://www.mhvillage.com/parks/31415,,
363,Hilltop Mobile Home Park,"1902 South Main Street,","Bloomington, IL",61704.0,557,https://www.mhvillage.com/parks/11055,,
364,Hillcrest Mobile Manor,"122 Greenwood Ave,","Bloomington, IL",61704.0,80,https://www.mhvillage.com/parks/11054,,
365,South Park,"Grace Dr,","Bloomington, IL",61704.0,38,https://www.mhvillage.com/parks/129761,,
366,Meadows Of Bloomington,"102 Filbert Drive,","Bloomington, IL",61705.0,190,https://www.mhvillage.com/parks/11057,,
367,Sherman's Mh Court,"600 Sixth St,","Atlanta, IL",61723.0,21,https://www.mhvillage.com/parks/10865,,
368,Autumn Oaks,"507 Hoselton Dr.,","Chenoa, IL",61726.0,100,https://www.mhvillage.com/parks/11693,,
369,All Seasons,"104 Enterprise Dr,","Chenoa, IL",61726.0,Not found,https://www.mhvillage.com/parks/106788,,
370,Huffman Mobile Home Park,"Rural Route #Q,","Midland City, IL",61727.0,Not found,https://www.mhvillage.com/parks/107070,,
371,Ridgeview Mobile Home Park,"R.r. 2 -Il Route 51,","South Clinton, IL",61727.0,Not found,https://www.mhvillage.com/parks/107062,,
372,South Cooksville Mobile Home Park,"Rr 1 Box 110,","Cooksville, IL",61730.0,9,https://www.mhvillage.com/parks/11063,,
373,Charlotte's Trailer Court,"475 East Jefferson Street,","El Paso, IL",61738.0,14,https://www.mhvillage.com/parks/11649,,
374,El Paso Mobile Home Court,"South Commercial St,","El Paso, IL",61738.0,Not found,https://www.mhvillage.com/parks/106962,,
375,Heartland Properties MHP,"Main St And Orange St,","El Paso, IL",61738.0,Not found,https://www.mhvillage.com/parks/107232,,
376,Kilpatrick's Mobile Home Park,"397 South Fayette Street,","El Paso, IL",61738.0,Not found,https://www.mhvillage.com/parks/11651,,
377,Kils Mobile Home Park,"397 S Fayette,","El Paso, IL",61738.0,Not found,https://www.mhvillage.com/parks/107102,,
378,Tegard Trailer Park,"75 S Oak St,","El Paso, IL",61738.0,Not found,https://www.mhvillage.com/parks/107066,,
379,Indian Grove Estates,"700 East Locust Street,","Fairbury, IL",61739.0,22,https://www.mhvillage.com/parks/10854,,
380,Timberline Mobile Home Park,"7 Pynes Drive,","Goodfield, IL",61742.0,103,https://www.mhvillage.com/parks/31480,,
381,Yogi Bear Jellystone Campground,"Timberline Road,","Goodfield, IL",61742.0,Not found,https://www.mhvillage.com/parks/11657,,
382,Eastern Drive Park,"Eastern Dr,","Gridley, IL",61744.0,Not found,https://www.mhvillage.com/parks/106996,,
383,Swanzy's Trailer Park,"509 South Buchanan Place,","Heyworth, IL",61745.0,16,https://www.mhvillage.com/parks/11071,,
384,Country Lane Mobile Home Park,"425 North Rd,","Heyworth, IL",61745.0,30,https://www.mhvillage.com/parks/11069,,
385,Coomer's Mobile Home Park,"208 E Pease St,","Heyworth, IL",61745.0,Not found,https://www.mhvillage.com/parks/107246,,
386,Highway Inn Trailer Court,"9051 Bucks Rd,","Heyworth, IL",61745.0,Not found,https://www.mhvillage.com/parks/107266,,
387,Peterson Mh Court,"303 N Vine St,","Heyworth, IL",61745.0,Not found,https://www.mhvillage.com/parks/57860,,
388,Marcum's Trailer Court,"208 W Vine St,","Leroy, IL",61752.0,29,https://www.mhvillage.com/parks/105360,,
389,King City Mobile Home Park,"612 West Vine Street,","Le Roy, IL",61752.0,Not found,https://www.mhvillage.com/parks/11072,,
390,Marcums Trailer Court,"208 West Vine Street,","Le Roy, IL",61752.0,Not found,https://www.mhvillage.com/parks/11073,,
391,Westwind Estates,"25101 South Main,","Lexington, IL",61753.0,Not found,https://www.mhvillage.com/parks/69151,,
392,Countryside Estates,"Davis,","Mackinaw, IL",61755.0,46,https://www.mhvillage.com/parks/11441,40.7474784,-92.3965311
393,Northwood Mobile Estates,"602 North Wood Street,","Maroa, IL",61756.0,66,https://www.mhvillage.com/parks/10896,,
394,Landings Estates,"1901 North Linden Street,","Normal, IL",61761.0,288,https://www.mhvillage.com/parks/11077,,
395,Northmeadow Village,"856 A Street,","Normal, IL",61761.0,274,https://www.mhvillage.com/parks/11078,,
396,Royal Acres Manufactured Home & RV Community,"605 Pine Street,","Normal, IL",61761.0,138,https://www.mhvillage.com/parks/11080,,
397,Redwood MHC,"15242 East 1830 North Road,","Pontiac, IL",61764.0,Not found,https://www.mhvillage.com/parks/10860,,
398,Vermillion Estates,"1225 4H Park Road,","Pontiac, IL",61764.0,140,https://www.mhvillage.com/parks/10863,,
399,Oakridge Park,"1037 East Water Street,","Pontiac, IL",61764.0,Not found,https://www.mhvillage.com/parks/10859,,
400,Sandy Creek Estates,"601 W Lincoln Ave,","Pontiac, IL",61764.0,Not found,https://www.mhvillage.com/parks/106928,,
401,Kinsell Mobile Home Park,"410 East Lincoln Street,","Saybrook, IL",61770.0,Not found,https://www.mhvillage.com/parks/11081,,
402,Neighbors of Hickory Hill,"973 County Road 2250,","Secor, IL",61771.0,Not found,https://www.mhvillage.com/parks/129184,,
403,"Wilsons on University MHC, LLC","1746 Wilson Road,","Urbana, IL",61801.0,42,https://www.mhvillage.com/parks/10264,,
404,Rock Park,"Main,","Urbana, IL",61801.0,15,https://www.mhvillage.com/parks/10260,49.9354788,9.8058264
405,Carriage Estates (Chief Illini),"63 1/2 Shemauger Trail,","Urbana, IL",61802.0,64,https://www.mhvillage.com/parks/10246,,
406,"Carriage Estates MHC, LLC","58 Bridle Lane,","Urbana, IL",61802.0,57,https://www.mhvillage.com/parks/10245,,
407,"Ivanhoe Estates MHC, LLC","26 Ivanhoe Drive,","Urbana, IL",61802.0,336,https://www.mhvillage.com/parks/10253,,
408,"Liberty Estate Commons MHC, LLC","1776 Independence,","Urbana, IL",61802.0,433,https://www.mhvillage.com/parks/74639,,
409,"Surbana Estates MHC, LLC","101 Dewey Street,","Urbana, IL",61802.0,95,https://www.mhvillage.com/parks/10262,,
410,"Woods Edge MHC, LLC","202 Apple Tree Drive,","Urbana, IL",61802.0,170,https://www.mhvillage.com/parks/10265,,
411,"Northwood Estates MHC, LLC","5 Northwood Circle,","Urbana, IL",61802.0,113,https://www.mhvillage.com/parks/10258,30.3574161,-89.1863231
412,"Spruce Commons MHC, LLC","1 Fern St.,","Urbana, IL",61802.0,34,https://www.mhvillage.com/parks/110926,,
413,"Surbana Estates MHC, LLC (Trailside)","2410 E. Main Street,","Urbana, IL",61802.0,16,https://www.mhvillage.com/parks/104881,,
414,Woodland Acres,"2200 East University Avenue,","Urbana, IL",61802.0,93,https://www.mhvillage.com/parks/31959,,
415,Powells Mobile Home Park,"2608 Brownfield Rd,","Urbana, IL",61802.0,26,https://www.mhvillage.com/parks/57654,,
416,Arleen Trailer Park,"2602 Brownfield Rd,","Urbana, IL",61802.0,Not found,https://www.mhvillage.com/parks/57660,,
417,Country View Estates,"1604 East Olympian Road,","Urbana, IL",61802.0,Not found,https://www.mhvillage.com/parks/10249,,
418,Ehler's Trailer Park,"3711 North Cunningham Avenue,","Urbana, IL",61802.0,Not found,https://www.mhvillage.com/parks/10250,40.1532608,-88.1842994
419,Country Manor Mh Park,"1513 County Road 2300 N,","Urbana, IL",61802.0,Not found,https://www.mhvillage.com/parks/57658,,
420,Sunny Oak Mobile Home Park,"27644 N 1700 E Rd,","Bismarck, IL",61814.0,36,https://www.mhvillage.com/parks/11456,,
421,Shadowwood Mobile Home Park,"1600 North Market Street,","Champaign, IL",61820.0,272,https://www.mhvillage.com/parks/10207,,
422,"Edgebrook Estates MHC, LLC","515 Edgebrook Drive,","Champaign, IL",61820.0,47,https://www.mhvillage.com/parks/10203,,
423,Country Tyme Estates,"1301 East Leverett Road #31,","Champaign, IL",61821.0,44,https://www.mhvillage.com/parks/10202,,
424,New Century Estates,"4809 West Windsor Road,","Champaign, IL",61822.0,169,https://www.mhvillage.com/parks/10206,,
425,Frazier Acres,"537 Country Rd 1600 N,","Champaign, IL",61822.0,Not found,https://www.mhvillage.com/parks/106838,,
426,Thomas Mobile Home Park,"55 Greenwood Cemetery Road,","Danville, IL",61832.0,25,https://www.mhvillage.com/parks/11480,,
427,Coach Light Mobile Home Park,"12 Coachlight Drive,","Danville, IL",61832.0,44,https://www.mhvillage.com/parks/11459,,
428,St Clair Mobile Home Park,"1237 Perrysville Road,","Danville, IL",61832.0,50,https://www.mhvillage.com/parks/11478,,
429,Danville Mobile Home Park,"1202 Perrysville Avenue,","Danville, IL",61832.0,110,https://www.mhvillage.com/parks/11462,,
430,Danville Mobile Home Park,"300 Spelter Avenue,","Danville, IL",61832.0,90,https://www.mhvillage.com/parks/11473,,
431,Big Rock Mobile Home Court,"1362 W. Williams Street,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/11457,,
432,Castleberrys Pondview Mh Park,"310 Blackford St,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57958,39.7718221,-86.1702347
433,Coachlight Mobile Home Park,"1 Coachlight Dr,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57662,,
434,Cornells Mh Park,"806 Perrysville Ave,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57957,,
435,Glen Ayre Mobile Home Park,"540 E 14th St,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/106990,,
436,Long's Mobile Home Park,"1330 West Williams Street,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/11458,,
437,Shelby Mobile Home Park,"204 East Hegeler Lane,","Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/11469,,
438,Glendale Mobile Home Park,"1831 Perrysville Road,","Danville, IL",61834.0,84,https://www.mhvillage.com/parks/11467,,
439,Valley Run Mobile Home Park,"1800 Perrysville Road,","Danville, IL",61834.0,60,https://www.mhvillage.com/parks/11481,,
440,Pals Mobile Home Park,"701 S Griffin St,","Danville, IL",61834.0,Not found,https://www.mhvillage.com/parks/57949,,
441,Joanna's Kountry Kourt,"14113 Murray Clark Rd,","Danville, IL",61834.0,Not found,https://www.mhvillage.com/parks/107204,,
442,Deeter's Mobile Estates,"433 West Clinton Avenue,","Farmer City, IL",61842.0,Not found,https://www.mhvillage.com/parks/10456,,
